Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
395,4e-05,0.0936,0.9934,0.9913,0.9896,0.9867,,,,,
400,4e-05,0.0931,0.9935,0.9915,0.9897,0.9868,0.955,0.8901,0.8848,0.8778,0.8682
405,3e-05,0.0939,0.9934,0.9913,0.9896,0.9866,,,,,
410,3e-05,0.0932,0.9934,0.9914,0.9895,0.9867,,,,,
415,3e-05,0.0951,0.9931,0.9909,0.9893,0.9862,,,,,
420,3e-05,0.0937,0.9935,0.9915,0.9896,0.9869,,,,,
425,2e-05,0.0953,0.9932,0.9909,0.9893,0.9861,,,,,
430,2e-05,0.0931,0.9934,0.9913,0.9896,0.9867,,,,,
435,2e-05,0.0926,0.9935,0.9916,0.9897,0.987,,,,,
440,2e-05,0.094,0.9934,0.9913,0.9897,0.9867,,,,,
445,2e-05,0.0937,0.9932,0.991,0.9894,0.9863,,,,,
450,1e-05,0.094,0.9934,0.9913,0.9896,0.9866,0.9605,0.8897,0.8842,0.8775,0.8677
455,1e-05,0.0926,0.9936,0.9917,0.9899,0.9871,,,,,
460,1e-05,0.0922,0.9933,0.9913,0.9895,0.9865,,,,,
465,1e-05,0.0916,0.9935,0.9915,0.9897,0.9869,,,,,
470,1e-05,0.0929,0.9934,0.9913,0.9896,0.9866,,,,,
475,1e-05,0.0916,0.9934,0.9915,0.9897,0.9869,,,,,
480,1e-05,0.0909,0.9936,0.9917,0.9898,0.987,,,,,
485,1e-05,0.0934,0.9934,0.9914,0.9896,0.9868,,,,,
490,1e-05,0.0928,0.9936,0.9917,0.9899,0.9873,,,,,
495,1e-05,0.0915,0.9935,0.9915,0.9898,0.987,,,,,
