Epoch,LR,Loss,Train Micro AUROC,Train Micro AUPRC,Train Macro AUROC,Train Macro AUPRC,Validation Loss,Validation Micro AUROC,Validation Micro AUPRC,Validation Macro AUROC,Validation Macro AUPRC
,,,,,,,,,,,
0,0.0005,0.731,0.4706,0.4635,0.4648,0.4682,0.6908,0.5701,0.5511,0.5709,0.548
5,0.0005,,,,,,0.5886,0.78,0.7931,0.7683,0.7717
10,0.0005,,,,,,0.5248,0.821,0.8326,0.8193,0.8242
15,0.0005,,,,,,0.4845,0.847,0.8552,0.8441,0.8458
20,0.0005,,,,,,0.4443,0.8729,0.8783,0.8673,0.8669
25,0.0005,,,,,,0.4126,0.8918,0.895,0.8855,0.8831
30,0.0005,,,,,,0.3934,0.9035,0.9051,0.8957,0.8921
35,0.0005,,,,,,0.3902,0.9088,0.9088,0.9003,0.8955
40,0.0005,,,,,,0.3934,0.9114,0.9105,0.9028,0.8971
45,0.0005,,,,,,0.4014,0.9125,0.9115,0.9033,0.8977
50,0.0005,0.1738,0.9809,0.9769,0.9759,0.9702,0.4098,0.9127,0.9117,0.9028,0.8972
55,0.0005,,,,,,0.4194,0.9126,0.9117,0.9024,0.8968
60,0.0005,,,,,,0.4285,0.9126,0.9117,0.9019,0.8966
65,0.0005,,,,,,0.4372,0.9127,0.9118,0.9016,0.8967
70,0.0005,,,,,,0.4467,0.9122,0.9111,0.9007,0.8955
75,0.0005,,,,,,0.4551,0.9119,0.9109,0.9002,0.8952
80,0.0005,,,,,,0.4614,0.9116,0.9103,0.8997,0.8945
85,0.0005,,,,,,0.4733,0.911,0.9098,0.8989,0.894
90,0.0005,,,,,,0.4873,0.9103,0.9091,0.8982,0.8933
95,0.0005,,,,,,0.4924,0.9101,0.9089,0.8977,0.8927
100,0.0005,0.1263,0.989,0.9859,0.9844,0.9799,0.5054,0.9096,0.9085,0.8972,0.8924
105,0.0005,,,,,,0.5151,0.9095,0.9082,0.897,0.8921
110,0.0005,,,,,,0.5261,0.9088,0.9075,0.8964,0.8916
115,0.0005,,,,,,0.539,0.9081,0.9067,0.8956,0.8905
120,0.0005,,,,,,0.5484,0.9076,0.9061,0.895,0.8897
125,0.0005,,,,,,0.5939,0.9067,0.9056,0.8943,0.8895
130,0.0005,,,,,,0.5948,0.9066,0.9055,0.8942,0.8893
135,0.0005,,,,,,0.5755,0.9067,0.9053,0.894,0.8889
140,0.0005,,,,,,0.5882,0.906,0.9045,0.8932,0.8881
145,0.0005,,,,,,0.6132,0.9048,0.9033,0.8921,0.8869
